City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
butaritari,KI,81.55,75,12,17.87,3.0707,172.7902,1658860310
atasu,KZ,79.88,20,41,15.66,48.6814,71.6433,1658860310
nikolskoye,RU,74.8,70,83,6.91,59.7035,30.7861,1658860311
airai,TL,53.29,70,100,3.67,-8.9266,125.4092,1658860311
east london,ZA,59.94,82,0,8.05,-33.0153,27.9116,1658860120
buala,SB,78.26,84,83,4.54,-8.145,159.5921,1658860312
ushuaia,AR,38.82,60,20,9.22,-54.8,-68.3,1658860312
iquitos,PE,77.04,94,75,1.14,-3.7481,-73.2472,1658860312
saint-philippe,RE,67.59,81,4,9.17,-21.3585,55.7679,1658860313
sangre grande,TT,87.93,78,18,7.29,10.5835,-61.1177,1658860313
hermanus,ZA,52.81,88,100,6.85,-34.4187,19.2345,1658860314
tiksi,RU,51.46,83,55,2.64,71.6872,128.8694,1658860314
fortuna,US,68.94,75,39,3.0,40.5982,-124.1573,1658860314
kapaa,US,80.92,74,40,18.41,22.0752,-159.319,1658860115
hobart,AU,44.46,94,100,4.61,-42.8794,147.3294,1658860119
batemans bay,AU,51.1,70,12,7.7,-35.7167,150.1833,1658860315
kishtwar,IN,68.83,97,100,1.86,33.3167,75.7667,1658860315
avera,US,90.91,35,99,10.54,33.194,-82.5271,1658860316
ojinaga,MX,96.57,35,0,4.61,29.5667,-104.4167,1658860316
port elizabeth,ZA,63.64,49,10,3.56,-33.918,25.5701,1658860317
cape town,ZA,58.26,81,20,8.05,-33.9258,18.4232,1658860317
cabo san lucas,MX,90.61,62,20,11.5,22.8909,-109.9124,1658860254
victoria,HK,86.38,77,0,8.99,22.2855,114.1577,1658860202
guerrero negro,MX,79.18,52,69,6.35,27.9769,-114.0611,1658860101
iqaluit,CA,51.53,76,20,6.91,63.7506,-68.5145,1658860272
jamestown,US,77.95,56,40,3.0,42.097,-79.2353,1658860062
faya,SA,68.11,57,100,4.52,18.3851,42.4509,1658860318
upernavik,GL,38.23,90,88,11.14,72.7868,-56.1549,1658860200
chuy,UY,64.54,87,90,5.68,-33.6971,-53.4616,1658860318
cayenne,GF,89.64,24,75,13.8,4.9333,-52.3333,1658860275
punta arenas,CL,37.51,65,20,18.41,-53.15,-70.9167,1658860124
coari,BR,94.42,35,58,1.25,-4.085,-63.1414,1658860319
khasan,RU,68.23,94,100,1.3,42.4308,130.6434,1658860319
carutapera,BR,79.95,82,92,9.15,-1.195,-46.02,1658860320
port alfred,ZA,64.09,59,0,10.49,-33.5906,26.891,1658860320
leningradskiy,RU,33.31,99,100,8.79,69.3833,178.4167,1658860321
new norfolk,AU,44.1,87,87,2.91,-42.7826,147.0587,1658860321
rikitea,PF,75.24,76,100,13.6,-23.1203,-134.9692,1658860321
barrow,US,35.62,93,100,14.97,71.2906,-156.7887,1658860322
nanortalik,GL,46.13,88,78,5.08,60.1432,-45.2371,1658860322
sao filipe,CV,78.39,81,99,4.72,14.8961,-24.4956,1658860322
mataura,NZ,44.47,97,100,7.65,-46.1927,168.8643,1658860323
nome,US,44.67,81,100,20.71,64.5011,-165.4064,1658860323
brigantine,US,77.04,84,100,4.61,39.4101,-74.3646,1658860324
bluff,NZ,44.8,89,100,22.46,-46.6,168.3333,1658860324
clyde river,CA,41.23,93,75,10.36,70.4692,-68.5914,1658860325
ondjiva,AO,67.01,29,28,5.41,-17.0667,15.7333,1658860325
labuhan,ID,74.66,84,70,6.85,-6.8844,112.2051,1658860325
baykit,RU,60.8,97,95,4.7,61.67,96.37,1658860326
verkhnevilyuysk,RU,65.55,85,9,5.17,63.4453,120.3167,1658860316
murdochville,CA,54.48,46,68,13.62,48.9583,-65.5006,1658860326
grindavik,IS,54.07,94,100,20.71,63.8424,-22.4338,1658860327
khatanga,RU,64.89,60,54,8.81,71.9667,102.5,1658860327
yarmouth,US,82.87,55,0,6.91,41.7057,-70.2286,1658860328
margate,GB,64.11,68,100,3.0,51.3813,1.3862,1658860328
yeniseysk,RU,57.24,84,100,5.37,58.4497,92.1703,1658860329
avarua,CK,69.85,73,40,10.36,-21.2078,-159.775,1658860329
albany,US,76.78,51,86,7.58,42.6001,-73.9662,1658860050
maneadero,MX,74.1,75,47,3.0,31.7167,-116.5667,1658860330
klyuchi,RU,69.64,45,59,8.43,52.2667,79.1667,1658860292
richards bay,ZA,58.14,80,0,6.93,-28.783,32.0377,1658860330
atuona,PF,77.49,74,5,16.93,-9.8,-139.0333,1658860120
seybaplaya,MX,89.06,59,10,12.33,19.65,-90.6667,1658860331
vaini,TO,69.96,94,20,3.44,-21.2,-175.2,1658860331
mar del plata,AR,59.09,97,100,9.22,-38.0023,-57.5575,1658860111
takoradi,GH,75.49,87,100,10.49,4.8845,-1.7554,1658860332
yeppoon,AU,60.58,74,0,9.93,-23.1333,150.7333,1658860332
deputatskiy,RU,50.23,83,100,2.93,69.3,139.9,1658860332
nicolas bravo,MX,86.92,64,59,5.73,18.45,-88.9167,1658860333
sao lourenco do sul,BR,67.78,80,89,6.96,-31.3653,-51.9783,1658860333
harindanga,IN,80.11,85,53,4.9,22.0383,88.3214,1658860334
busselton,AU,49.89,82,17,6.46,-33.65,115.3333,1658860128
acapulco,MX,87.62,62,20,3.44,16.8634,-99.8901,1658860049
longyearbyen,SJ,48.04,87,75,8.05,78.2186,15.6401,1658860334
yellowknife,CA,68.56,52,40,6.91,62.456,-114.3525,1658860335
bahir dar,ET,61.9,94,100,4.27,11.5936,37.3908,1658860335
puerto ayora,EC,78.76,89,100,8.99,-0.7393,-90.3518,1658860336
finspang,SE,62.11,66,68,10.67,58.7058,15.7674,1658860336
bredasdorp,ZA,51.3,90,100,6.22,-34.5322,20.0403,1658860336
sorland,NO,53.46,93,100,29.21,67.667,12.6934,1658860042
carnarvon,AU,63.14,52,0,11.1,-24.8667,113.6333,1658860337
arraial do cabo,BR,76.96,78,20,18.41,-22.9661,-42.0278,1658860200
saint george,US,85.42,57,0,3.0,37.1041,-113.5841,1658860335
aksarka,RU,49.51,89,100,12.1,66.5606,67.7975,1658860337
luderitz,NA,56.46,80,39,4.76,-26.6481,15.1594,1658860338
yarada,IN,79.12,100,40,2.3,17.65,83.2667,1658860338
tobol,KZ,64.65,84,99,12.19,52.6844,62.5794,1658860339
severka,RU,63.84,98,85,7.2,56.8688,60.3015,1658860339
shalakusha,RU,60.94,83,100,4.25,62.2247,40.2539,1658860340
bagdarin,RU,58.01,99,100,5.57,54.4333,113.6,1658860340
chatellerault,FR,75.92,47,98,5.68,46.8,0.5333,1658860340
georgetown,MY,82.89,89,20,4.61,5.4112,100.3354,1658860153
aklavik,CA,68.49,44,100,13.4,68.2191,-135.0107,1658860341
maragogi,BR,77.34,78,83,10.18,-9.0122,-35.2225,1658860196
ribeira grande,PT,79.2,78,20,10.36,38.5167,-28.7,1658860341
preobrazheniye,RU,68.43,91,100,3.51,42.9019,133.9064,1658860342
qaanaaq,GL,43.88,60,4,1.16,77.484,-69.3632,1658860121
atlantic beach,US,94.12,64,40,13.8,30.3344,-81.3987,1658860218
petropavlovsk-kamchatskiy,RU,50.59,100,75,2.24,53.0452,158.6483,1658860342
